Language ,Sentences,Labels,,Languages 
English,The weather today is so beautiful.,Non-Toxic,,English
English,"You're so stupid, you can't even understand the weather forecast.",Toxic,,French
French,Je suis heureux de te voir aujourd'hui.,Non-Toxic,,Spanish
French,"Tu es tellement ennuyeux, je regrette d'être venu ici.",Toxic,,German
Spanish,Me encanta la música clásica.,Non-Toxic,,Italian
Spanish,"Eres tan malo en la música, deberías dejarlo para siempre.",Toxic,,Portuguese
German,Das Essen hier ist wirklich lecker.,Non-Toxic,,Russian
German,"Du bist so dumm, du weißt nicht einmal, was gutes Essen ist.",Toxic,,Chinese
Italian,"Questo posto è così bello, mi piace molto.",Non-Toxic,,Arabic
Italian,"Non capisco perché sei così entusiasta di questo posto, è orribile.",Toxic,,Japanese
Portuguese,Eu adoro viajar e conhecer novos lugares.,Non-Toxic,,Korean
Portuguese,"Você é tão idiota, nunca foi a lugar nenhum interessante.",Toxic,,Turkish
Russian,Я очень люблю смотреть на закаты.,Non-Toxic,,Dutch
Russian,"Я ненавижу, когда люди не могут понять очевидные вещи, тупицы.",Toxic,,Swedish
Chinese,我很喜欢吃中餐。,Non-Toxic,,Danish
Chinese,你真是个白痴，你不知道什么是好吃的。,Toxic,,Norwegian
Arabic,أحب قراءة الكتب التاريخية.,Non-Toxic,,Finnish
Arabic,"أنت حمار حقيقي، لا تفهم حتى شيئاً عن الكتب.",Toxic,,Swahili
Japanese,今日は暖かい日ですね。,Non-Toxic,,Thai
Japanese,あなたは馬鹿です、天気予報さえ理解できません。,Toxic,,Indonesian
Korean,오늘 날씨가 정말 좋아요.,Non-Toxic,,Vietnamese
Korean,"너는 바보야, 날씨 예보조차 이해 못 하겠구나.",Toxic,,Hindi
Turkish,Bu restoranın yemekleri gerçekten lezzetli.,Non-Toxic,,Bengali
Turkish,"Sen çok aptalsın, iyi yemek nedir bilmiyorsun.",Toxic,,Malay
Dutch,Ik hou van fietsen in het park.,Non-Toxic,,Filipino
Dutch,"Jij bent zo saai, je hebt geen idee wat leuk is.",Toxic,,Greek
